Tier,Rank,Champion Name,Lane,Win Rate,Pick Rate,Ban Rate,Play Count
Platinum,218,아지르,미드,48.47%,2.31%,0.26%,"48,450"
Platinum,219,엘리스,정글,48.10%,2.56%,5.96%,"53,647"
Platinum,220,카이사,바텀,48.19%,14.39%,1.06%,"301,435"
Platinum,221,멜,탑,48.60%,1.31%,65.36%,"27,379"
Platinum,222,바루스,바텀,48.56%,6.46%,1.46%,"135,294"
Platinum,223,니달리,서폿,49.33%,0.51%,1.65%,"10,705"
Platinum,224,애쉬,바텀,48.02%,10.94%,8.27%,"229,043"
Platinum,225,파이크,서폿,48.01%,5.71%,16.76%,"119,487"
Platinum,226,트리스타나,바텀,48.70%,3.25%,0.54%,"68,011"
Platinum,227,크산테,탑,46.91%,6.28%,4.30%,"131,461"
Platinum,228,아펠리오스,바텀,48.64%,2.62%,0.40%,"54,781"
Platinum,229,코르키,바텀,48.52%,3.48%,1.63%,"72,925"
Platinum,230,칼리스타,바텀,48.64%,2.02%,0.72%,"42,360"
Platinum,231,스웨인,서폿,48.50%,2.92%,2.77%,"61,188"
Platinum,232,말파이트,서폿,48.62%,1.25%,5.66%,"26,243"
Platinum,233,오로라,탑,48.08%,1.01%,5.34%,"21,177"
Platinum,234,헤카림,정글,47.22%,2.37%,0.30%,"49,539"
Platinum,235,야스오,탑,47.95%,1.91%,15.87%,"39,977"
Platinum,236,사일러스,서폿,48.07%,1.41%,17.54%,"29,424"
Platinum,237,제드,정글,47.29%,0.81%,14.87%,"16,877"
Platinum,238,탈리야,정글,47.16%,0.78%,0.28%,"16,292"
Platinum,239,레나타 글라스크,서폿,48.18%,0.80%,0.25%,"16,800"
Platinum,240,니달리,정글,46.22%,3.13%,1.65%,"65,605"
Platinum,241,마오카이,정글,46.91%,0.58%,2.84%,"12,092"
Platinum,242,베이가,서폿,47.46%,0.94%,1.16%,"19,637"
Platinum,243,코르키,미드,46.52%,0.56%,1.63%,"11,734"
Platinum,244,그라가스,정글,44.55%,1.68%,1.09%,"35,121"
Platinum,245,애쉬,서폿,45.90%,1.20%,8.27%,"25,124"
Platinum,246,사일러스,정글,43.94%,1.37%,17.54%,"28,742"
Platinum,247,스몰더,탑,44.49%,0.66%,0.66%,"13,820"
Platinum,248,미스 포츈,서폿,45.56%,0.91%,47.80%,"19,060"
Platinum,249,우디르,탑,43.88%,0.68%,0.29%,"14,238"
Platinum,250,리 신,탑,43.21%,1.14%,35.41%,"23,925"
Platinum,251,스몰더,미드,43.58%,0.59%,0.66%,"12,272"
Emerald,1,미스 포츈,바텀,53.80%,20.52%,64.59%,"75,056"
Emerald,2,제이스,탑,50.01%,15.68%,25.49%,"57,349"
Emerald,3,비에고,정글,50.27%,24.11%,23.87%,"88,163"
Emerald,4,리 신,정글,49.70%,34.34%,39.96%,"125,568"
Emerald,5,룰루,서폿,50.86%,14.57%,14.12%,"53,281"
Emerald,6,이렐리아,탑,51.11%,5.23%,38.55%,"19,142"
Emerald,7,렐,서폿,51.76%,9.03%,7.68%,"33,010"
Emerald,8,엘리스,서폿,51.47%,6.45%,24.17%,"23,582"
Emerald,9,다리우스,탑,51.24%,6.74%,16.44%,"24,655"
